run_accession,study_accession,sample_accession,experiment_accession,tax_id
ERR13577013,PRJEB79238,SAMEA115941015,ERX12946916,410658
ERR13577014,PRJEB79238,SAMEA115941016,ERX12946917,410658
ERR13577015,PRJEB79238,SAMEA115941017,ERX12946918,410658
ERR13577021,PRJEB79238,SAMEA115941023,ERX12946924,410658
ERR13577024,PRJEB79238,SAMEA115941026,ERX12946927,410658
ERR13577027,PRJEB79238,SAMEA115941029,ERX12946930,410658
ERR13577028,PRJEB79238,SAMEA115941030,ERX12946931,410658
ERR13577035,PRJEB79238,SAMEA115941037,ERX12946938,410658
ERR13577036,PRJEB79238,SAMEA115941038,ERX12946939,410658
ERR13577038,PRJEB79238,SAMEA115941040,ERX12946941,410658
ERR13577039,PRJEB79238,SAMEA115941041,ERX12946942,410658
ERR13577041,PRJEB79238,SAMEA115941043,ERX12946944,410658
ERR13577043,PRJEB79238,SAMEA115941045,ERX12946946,410658
ERR13577050,PRJEB79238,SAMEA115941052,ERX12946953,410658
ERR13577060,PRJEB79238,SAMEA115941062,ERX12946963,410658
ERR13577061,PRJEB79238,SAMEA115941063,ERX12946964,410658
ERR13577062,PRJEB79238,SAMEA115941064,ERX12946965,410658
ERR13577064,PRJEB79238,SAMEA115941066,ERX12946967,410658
ERR13577074,PRJEB79238,SAMEA115941091,ERX12946977,410658
ERR13577076,PRJEB79238,SAMEA115941093,ERX12946979,410658
ERR13577079,PRJEB79238,SAMEA115941076,ERX12946982,410658
ERR13577082,PRJEB79238,SAMEA115941079,ERX12946985,410658
ERR13577086,PRJEB79238,SAMEA115941083,ERX12946989,410658
ERR13577088,PRJEB79238,SAMEA115941085,ERX12946991,410658
ERR13577094,PRJEB79238,SAMEA115941098,ERX12946997,410658
ERR13577095,PRJEB79238,SAMEA115941095,ERX12946998,410658
ERR13577102,PRJEB79238,SAMEA115941104,ERX12947005,410658
ERR13577109,PRJEB79238,SAMEA115941111,ERX12947012,410658
ERR13577110,PRJEB79238,SAMEA115941112,ERX12947013,410658
ERR13577111,PRJEB79238,SAMEA115941113,ERX12947014,410658
ERR13577114,PRJEB79238,SAMEA115941131,ERX12947017,410658
ERR13577115,PRJEB79238,SAMEA115941132,ERX12947018,410658
ERR13577120,PRJEB79238,SAMEA115941117,ERX12947023,410658
ERR13577122,PRJEB79238,SAMEA115941119,ERX12947025,410658
ERR13577124,PRJEB79238,SAMEA115941121,ERX12947027,410658
ERR13577126,PRJEB79238,SAMEA115941123,ERX12947029,410658
ERR13577128,PRJEB79238,SAMEA115941125,ERX12947031,410658
ERR13577131,PRJEB79238,SAMEA115941128,ERX12947034,410658
ERR13577132,PRJEB79238,SAMEA115941129,ERX12947035,410658
ERR13577134,PRJEB79238,SAMEA115941151,ERX12947037,410658
ERR13577136,PRJEB79238,SAMEA115941153,ERX12947039,410658
ERR13577139,PRJEB79238,SAMEA115941136,ERX12947042,410658
ERR13577141,PRJEB79238,SAMEA115941138,ERX12947044,410658
ERR13577144,PRJEB79238,SAMEA115941141,ERX12947047,410658
ERR13577146,PRJEB79238,SAMEA115941143,ERX12947049,410658
ERR13577147,PRJEB79238,SAMEA115941144,ERX12947050,410658
ERR13577148,PRJEB79238,SAMEA115941145,ERX12947051,410658
ERR13577149,PRJEB79238,SAMEA115941146,ERX12947052,410658
ERR13577150,PRJEB79238,SAMEA115941147,ERX12947053,410658
ERR13577151,PRJEB79238,SAMEA115941148,ERX12947054,410658
ERR13577152,PRJEB79238,SAMEA115941149,ERX12947055,410658
